id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1219374,"Kickback, Relax in a Private Suite with a Simple Breakfast",1286364,Brenda,,28801,35.60622,-82.56569,Private room,95,2,181,2020-03-15,2.87,1,0,0,
1297717,"Lovely, peaceful mountain retreat",614610,Linda,,28805,35.62277,-82.50215,Entire home/apt,57,2,103,2018-07-24,1.01,2,289,0,
1312301,Mid Century Modern Basement Apt..,7130739,Marta,,28805,35.58247,-82.49987,Entire home/apt,115,3,86,2021-07-25,0.84,1,228,4,
1392363,Explorers Retreat Near Downtown Asheville,7527127,Theo,,28804,35.62447,-82.57928,Entire home/apt,166,3,60,2021-11-28,1.47,3,44,21,
1393012,HUGE SUITE (king bed) & huge bath-PRIVATE ACCESS,7523601,Karen,,28704,35.46158,-82.53984,Private room,80,1,112,2021-11-13,1.13,1,346,16,
1421061,Garden studio between Asheville +  Biltmore Estate,483350,Emilio And Kate,,28803,35.57597,-82.53695,Entire home/apt,158,2,129,2021-10-25,1.26,1,167,8,
1466495,Cute Asheville Area Bungalow 7 Miles to Downtown,7307939,Jeffrey,,28715,35.56843,-82.65529,Entire home/apt,85,3,12,2021-10-10,0.12,1,0,3,
1475299,Refocus Five - furnished 3BR home. Great location,1566145,Gayle,,28804,35.64455,-82.52651,Entire home/apt,236,30,25,2020-05-24,0.25,2,340,0,
1569954,Charming cottage bordered by stream,8348149,Deborah,,28801,35.61156,-82.55237,Private room,70,30,39,2015-11-02,0.39,1,364,0,
1571095,Perfectly Located Studio Apartment In Asheville,8345942,Sherry,,28803,35.57357,-82.53846,Entire home/apt,85,2,102,2021-11-15,1.67,1,70,14,
1574329,#7 Rose Room - Oakland Cottage B&B,3736218,Mary,,28801,35.57478,-82.55719,Private room,135,2,5,2021-06-29,0.07,7,309,1,
1578831,#2  Downtown Get Around,6618494,Reid,,28801,35.60603,-82.55362,Entire home/apt,79,30,220,2021-09-18,2.18,3,65,6,
1586906,"Hidden treasure near Downtown, UNCA",5601328,Mary,,28801,35.60823,-82.56212,Private room,85,2,237,2021-11-21,2.37,1,338,20,
1684109,10 Minutes to Downtown  Epic Views!,4117051,Louise And Steve,,28805,35.60792,-82.48789,Entire home/apt,300,3,139,2021-12-08,1.40,3,304,20,
1728187,"Welcoming walkable North Asheville, Pets OK",320564,Lisa,,28801,35.60644,-82.55594,Entire home/apt,160,30,52,2019-11-30,0.57,2,0,0,
1768955,Furnished Apartment Walk to Downtown 30 day min,12874214,David,,28801,35.60368,-82.55647,Entire home/apt,64,29,63,2021-11-30,0.63,3,318,7,
1827412,Downtown Asheville Classic Style - Great Value!-#9,7625694,John,,28801,35.59224,-82.5512,Private room,92,2,453,2021-11-14,4.73,9,328,29,
1843828,"HOME, INDOOR POOL, NEAR IT ALL",9617701,Diane & Dick,,28804,35.64752,-82.5309,Entire home/apt,250,3,92,2021-01-02,0.95,1,0,1,
1852818,5 Star Garden Cottage Retreat. Tesla Charger,9674379,Lauren,,28801,35.61295,-82.54775,Entire home/apt,65,30,101,2021-11-22,1.03,1,49,4,
1879067,West Asheville - Canie Creek Getaway,313613,Alyson,,28806,35.56677,-82.61641,Entire home/apt,87,2,22,2021-12-05,3.57,1,156,22,
2072026,"2 mls 2 Dwntn Private Entry, Sunny, Clean! Pets ok",8533528,Susan,,28804,35.63647,-82.54949,Entire home/apt,144,2,342,2021-12-05,3.59,1,155,48,
2108335,Bodacious Downtown Bungalow,3383961,Diane,,28801,35.58601,-82.55628,Entire home/apt,165,28,348,2021-07-22,3.59,3,365,24,
2176375,Guest House & Private Patio,11100294,Jane,,28806,35.56778,-82.58778,Entire home/apt,49,29,217,2021-10-05,2.28,2,37,6,
2209375,Location~Location 2/1 Bungalow walk to everything!,2596933,B,,28801,35.6013,-82.55634,Entire home/apt,77,90,144,2021-05-09,1.55,2,225,1,
2214960,"SUNNY SERENITY,OFFICE, MTN VIEW,FIREPLACE,KING BED",11297481,Julie,,28801,35.61054,-82.55334,Entire home/apt,105,30,224,2021-10-31,2.42,2,59,1,
2222067,Sassy Blue Room in Southslope,11336944,Sharon,,28801,35.58225,-82.55814,Entire home/apt,92,2,313,2021-12-11,4.40,2,162,69,
2254521,The Mimosa Room/private entrance/private bath.,546222,Martha,,28806,35.56893,-82.56834,Private room,65,28,37,2021-08-31,0.39,1,197,3,
2283071,"Serene Cozy Getaway, Walk to West Avl.",4836597,Karen,,28806,35.57816,-82.60315,Private room,29,1,52,2020-03-15,0.55,1,2,0,
2296152,"Victorian Cottage Downtown - ""Green Room""",7535860,Rita,,28801,35.60403,-82.56101,Private room,91,1,844,2021-11-30,8.86,2,347,95,
2326086,Downtown Artist Loft,2307713,Krista,,28801,35.59541,-82.55329,Entire home/apt,194,1,570,2021-12-13,5.97,3,307,111,
2411109,"Victorian Cottage Downtown - ""Blue Room""",7535860,Rita,,28801,35.60048,-82.55759,Private room,91,1,920,2021-11-28,9.78,2,332,118,
2432333,Laurelwood,12430753,Anne,,28805,35.59171,-82.51076,Entire home/apt,90,2,147,2021-11-29,2.60,1,69,34,
2454666,"The Hideaway, W. Asheville.  2 BR Apt w/ Hot Tub!",10240937,Joe,,28806,35.57943,-82.58682,Entire home/apt,151,2,278,2021-12-12,2.95,1,279,59,
2477628,Modern River-Arts Cottage - Near Downtown/Mission,8035294,Alicia,,28801,35.58939,-82.56782,Entire home/apt,239,75,181,2021-11-07,1.93,3,93,11,
2569529,Downtown Asheville 2 bed/2bath unit for rent,8671251,Heather,,28801,35.60045,-82.55587,Entire home/apt,85,180,12,2016-07-04,0.13,1,209,0,
2605869,FREE NIGHT-10 Mins to DT AVL & Biltmore-MNT Views-6 KING BR-Biltmore Basecamp,9385592,Kelsey,,28805,35.61523,-82.4836,Entire home/apt,631,2,39,2020-07-19,0.42,5,4,0,
2607570,New Cozy Garage Apt/ Great Location,13238922,Irma,,28801,35.60606,-82.54351,Entire home/apt,79,2,137,2021-11-28,1.47,1,246,65,
2708104,"DREAM CATCHER,2 FIREPLACES, OFFCIE, BALCANY, VIEW",11297481,Julie,,28801,35.61231,-82.55362,Entire home/apt,105,30,196,2021-10-30,2.10,2,120,2,
